Study Program,Courses,Description
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,General Psychology: Perception  Cognition and Behavior,phenomena theories neurobiological psychology empirical science neuroanatomy perception learning memory solving
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Informatische Grundlagen neuer Medien und Kommunikationstechniken,computer science technologies media digital computer communication networks internet data web xhtml css programming web programming algorithms data modeling database
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Statistics I: Introduction to research methods,psychology empirical data dispersion correlation practical statistical software experimental
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Business Law,
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Digital Media,multimedia digital media digital hardware networks computer graphics bitmap vector graphics color video animation sound letters fonts symbols media multimedia usability engineering project design project project planning analysis bug testing media media design art web multimedia communication interactivity creativity visualization design
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,General Psychology: Motivation and Emotion,phenomena theories neurobiological emotion complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theories complex sexuality sexual dimorphism hunger instincts
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Mathematical structures,analysis differentiation curve algebraic monoids vector linear algebra combinatorics
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Statistics II: Inferential statistics,statistical hypotheses data predictions interrelations analysis factorial analysis measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis parametric multivariate
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Experimental Methodologies,experimental laboratory experimental methodologies psychology experimental psychology empirical experimental viz hypotheses planning experiment data interpretation communication scientific practical capabilities psychological experimental laboratory design analyze scientifically empirical psychological ethics psychology experimental methodologies hypotheses experimental designs techniques experimental experiments data analysis data interpretation scientific communication
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Human Computer Interaction,techniques human computer systematically design interactive psychological human computer hardware software usability design human computer psychological cognitive devices techniques touch tangible technology graphic interactive gestural usability engineering job analysis design navigation design web navigation objects visual design visualization design organizational economical usability engineering
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,General Psychology: Perception  Cognition and Behavior,phenomena theories neurobiological psychology empirical science neuroanatomy perception learning memory solving
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Informatische Grundlagen neuer Medien und Kommunikationstechniken,computer science technologies media digital computer communication networks internet data web xhtml css programming web programming algorithms data modeling database
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Statistics I: Introduction to research methods,psychology empirical data dispersion correlation practical statistical software experimental
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Basic Programming Skills,art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Digital Media,multimedia digital media digital hardware networks computer graphics bitmap vector graphics color video animation sound letters fonts symbols media multimedia usability engineering project design project project planning analysis bug testing media media design art web multimedia communication interactivity creativity visualization design
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,General Psychology: Motivation and Emotion,phenomena theories neurobiological emotion complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theories complex sexuality sexual dimorphism hunger instincts
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Mathematical structures,analysis differentiation curve algebraic monoids vector linear algebra combinatorics
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Statistics II: Inferential statistics,statistical hypotheses data predictions interrelations analysis factorial analysis measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis parametric multivariate
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Experimental Methodologies,experimental laboratory experimental methodologies psychology experimental psychology empirical experimental viz hypotheses planning experiment data interpretation communication scientific practical capabilities psychological experimental laboratory design analyze scientifically empirical psychological ethics psychology experimental methodologies hypotheses experimental designs techniques experimental experiments data analysis data interpretation scientific communication
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Human Computer Interaction,techniques human computer systematically design interactive psychological human computer hardware software usability design human computer psychological cognitive devices techniques touch tangible technology graphic interactive gestural usability engineering job analysis design navigation design web navigation objects visual design visualization design organizational economical usability engineering
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Modeling,programming theoretical computer computer science techniques
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,Bachelor Thesis,scientific
