Study Program,Description
B.Sc. Applied Cognitive and Media Science  PO19 - B-KM-19,phenomena theories neurobiological psychology empirical science neuroanatomy perception learning memory solving computer science technologies media digital computer communication networks internet data web xhtml css programming web programming algorithms data modeling database psychology empirical data dispersion correlation practical statistical software experimental  multimedia digital media digital hardware networks computer graphics bitmap vector graphics color video animation sound letters fonts symbols media multimedia usability engineering project design project project planning analysis bug testing media media design art web multimedia communication interactivity creativity visualization design phenomena theories neurobiological emotion complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theories complex sexuality sexual dimorphism hunger instincts analysis differentiation curve algebraic monoids vector linear algebra combinatorics statistical hypotheses data predictions interrelations analysis factorial analysis measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis parametric multivariate experimental laboratory experimental methodologies psychology experimental psychology empirical experimental viz hypotheses planning experiment data interpretation communication scientific practical capabilities psychological experimental laboratory design analyze scientifically empirical psychological ethics psychology experimental methodologies hypotheses experimental designs techniques experimental experiments data analysis data interpretation scientific communication techniques human computer systematically design interactive psychological human computer hardware software usability design human computer psychological cognitive devices techniques touch tangible technology graphic interactive gestural usability engineering job analysis design navigation design web navigation objects visual design visualization design organizational economical usability engineering phenomena theories neurobiological psychology empirical science neuroanatomy perception learning memory solving computer science technologies media digital computer communication networks internet data web xhtml css programming web programming algorithms data modeling database psychology empirical data dispersion correlation practical statistical software experimental art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming multimedia digital media digital hardware networks computer graphics bitmap vector graphics color video animation sound letters fonts symbols media multimedia usability engineering project design project project planning analysis bug testing media media design art web multimedia communication interactivity creativity visualization design phenomena theories neurobiological emotion complex emotion learning theoretical cognitive evolutionary psychological neuro psychophysiological emotion theories complex sexuality sexual dimorphism hunger instincts analysis differentiation curve algebraic monoids vector linear algebra combinatorics statistical hypotheses data predictions interrelations analysis factorial analysis measurement regression analysis covariance analysis mediator analysis moderator analysis factor analysis parametric multivariate experimental laboratory experimental methodologies psychology experimental psychology empirical experimental viz hypotheses planning experiment data interpretation communication scientific practical capabilities psychological experimental laboratory design analyze scientifically empirical psychological ethics psychology experimental methodologies hypotheses experimental designs techniques experimental experiments data analysis data interpretation scientific communication techniques human computer systematically design interactive psychological human computer hardware software usability design human computer psychological cognitive devices techniques touch tangible technology graphic interactive gestural usability engineering job analysis design navigation design web navigation objects visual design visualization design organizational economical usability engineering programming theoretical computer computer science techniques scientific 
B.Sc. Applied Computer Sience  PO19 - B-AI-19,art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming linear algebra discrete mathematics methodical mathematics logic correspondencies mappings algebraic rings homomorphisms vector linear operators matrices linear equations gauss algorithm computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits computer science logic databases query sql specification boolean circuits analysis verification programs logic programming prolog logic computer science logic predicate logic logic equivalence resolution logic sat solvers predicate logic undecidability predicate logic herbrand resolution predicate logic logic programming resolution programming theoretical computer computer science techniques probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error programming java python java practical solve programming objectoriented programming architecture design patterns programming graphical controller technique serialisation database jdbc network programming webservices computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking complex convergence mappings differential integral calculus computability computer science computation np unsolved theoretical computer science computability computability turing machines computability loop goto programs recursive recursive ackermann undecidability reductions np np sat np hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing programming operational programming programming programming paradigms implementation procedural functional data polymorphism logic programming technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases lab practical handling relational database database schemas integrity complex sql queries database programs web database microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os project unity practical theoretical practical software hardware software theoretical software informatics mathematics innovative prototypically software project art programming python programming programs programming loops pipes handling recursive algorithms sorting programming programming java similarities programming linear algebra discrete mathematics methodical mathematics logic correspondencies mappings algebraic rings homomorphisms vector linear operators matrices linear equations gauss algorithm computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits computer science logic databases query sql specification boolean circuits analysis verification programs logic programming prolog logic computer science logic predicate logic logic equivalence resolution logic sat solvers predicate logic undecidability predicate logic herbrand resolution predicate logic logic programming resolution programming theoretical computer computer science techniques programming java python java practical solve programming objectoriented programming architecture design patterns programming graphical controller technique serialisation database jdbc network programming webservices computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking complex convergence mappings differential integral calculus computability computer science computation np unsolved theoretical computer science computability computability turing machines computability loop goto programs recursive recursive ackermann undecidability reductions np np sat np hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing programming operational programming programming programming paradigms implementation procedural functional data polymorphism logic programming technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases lab practical handling relational database database schemas integrity complex sql queries database programs web database microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os project unity practical theoretical practical software hardware software theoretical software informatics mathematics innovative prototypically software project
B.Sc. Civil Engineering  PO19 - B-BIW-19,internal mechanical metric linear algebra analytical geometry probability physics mechanics vibrations waves electric magnetic thermodynamics gas radioactivity draw formula physical physics differentiation learning physical differential integral calculation calculus differential equations hardware software technology programming flowcharts arrays data loops technology lists excel automation evaluations excel objects vba excel sql databases sql database computer planning technology techniques programming data databases computer science project software image software multimedia project laws elastostatics girders science crystallography ray diffration defects crystals comprising implications mechanics chemistry hydrogen atom periodic chemical thermodynamics iron carbon metals mineral constituents mortar ceramic mineral asphalt plasticssoft kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion kinetics parabolic collision linear angular momentum newton euler laws earthworks structural design german asphalt asphalt teil design curvature slope visibility distance german ral planning structural framework safety calculation dimensional joints column mechanical column virtual calculation differential equation elastic labor equation practical technique calculation laws physical soils groundwater distribution soil behaviour soils earth geotechnical structural steel steels steel products design compression torsion design welded bolted wood wood design compression design woods glued laminated nails bolts dowels tensile safety calculation methodology financing analysis design raft verifications design designing girders girders columns frames stability steel flexural buckling elasticity laterial torsional buckling design calculation bolted welded chemistry water water analysis water sanitary engineering water water usability water water protection water water measurement water water water water water distribution urban drainage hydrological measurement design sewers storm overflow stormwater overflow tank stormwater tank soil french drains drainage sewer network planning sewer water measurement mechanical biological chemical water water hydraulics hydrology water water engineering design hydro engineering river hydropower protection barrages dams flood river restoration internal mechanical metric linear algebra analytical geometry probability physics mechanics vibrations waves electric magnetic thermodynamics gas radioactivity draw formula physical physics differentiation learning physical differential integral calculation calculus differential equations hardware software technology programming flowcharts arrays data loops technology lists excel automation evaluations excel objects vba excel sql databases sql database computer planning technology techniques programming data databases computer science project software image software multimedia project laws elastostatics girders science crystallography ray diffration defects crystals comprising implications mechanics chemistry hydrogen atom periodic chemical thermodynamics iron carbon metals mineral constituents mortar ceramic mineral asphalt plasticssoft kinematics cartesian curvilinear coordinates coordinates coordinates polar cylindrical spherical coordinates dimensional motion kinetics parabolic collision linear angular momentum newton euler laws earthworks structural design german asphalt asphalt teil design curvature slope visibility distance german ral planning structural framework safety calculation dimensional joints column mechanical column virtual calculation differential equation elastic labor equation practical technique calculation laws physical soils groundwater distribution soil behaviour soils earth geotechnical structural steel steels steel products design compression torsion design welded bolted wood wood design compression design woods glued laminated nails bolts dowels tensile safety calculation methodology financing analysis design raft verifications design designing girders girders columns frames stability steel flexural buckling elasticity laterial torsional buckling design calculation bolted welded chemistry water water analysis water sanitary engineering water water usability water water protection water water measurement water water water water water distribution urban drainage hydrological measurement design sewers storm overflow stormwater overflow tank stormwater tank soil french drains drainage sewer network planning sewer water measurement mechanical biological chemical water water hydraulics hydrology water water engineering design hydro engineering river hydropower protection barrages dams flood river restoration
B.Sc. Computer Engineering (Communications)  PO19 - B-CE(Com)-19,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices vector kinematics geometry motion dynamics motion kinematics dynamics particle motion analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits technical technical programming technical scientific embedded solutions network communication algorithmic procedural implementation programming techniques modular programs practical algorithms design algorithm preprocessor compiler atomic data formatted arrays sorting pointers dynamic memory allocation memory dynamic data lists stacks queues practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier technical technical vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis physical laws static electric magnetic electrical magnetic faraday maxwell equations integral hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors economics volumes production finance capital budgeting programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming practical programming homeworks handling data files hierarchies dynamic heap probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error scientific scientific scientific linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete practical experiments evaluate measurement data scientific experiments measuring design digital analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation labs computer engineering mathematics implement dynamic stability synthesis design intelligent intelligence artificial intelligence computer artificial intelligence practical ai intelligence architectures bfs dfs genetic algorithms probabilistic machine learning classification naive bayes clustering regression ai image analysis techniques internet web scientific tools web design internet techniques creation web sockets design internet telnet ftp usenet irc dns security dnssec smtp mime imap spam hypertext http session web html xml css client techniques implementation web javascript ajax computer computer networks unix dos memory hierarchy storage cache memories paging segmenting virtual computer communication mechanisms computer networks design networks error probability lab experiments parameter temprature controller design capacitors devices ccd transistors mosfet junction fet mesfet jfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices implement project technical solution team specification project specifications design interface english scientific engineering sciences autonomously scientific discussions computer networks lab practical implementation computer networks network network topologies routing sockets functioning servers firewalls project intranet file web server intranet connected web firewall intranet connected external socket programming network analysis programs mobile communications digital mobile communication mobile communication theoretical digital cellular mobile communication networks mobile communication cellular mobile communications cellular network signal technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices vector kinematics geometry motion dynamics motion kinematics dynamics particle motion analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming physical laws static electric magnetic electrical magnetic faraday maxwell equations integral hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors economics volumes production finance capital budgeting programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming practical programming homeworks handling data files hierarchies dynamic heap probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error scientific scientific scientific linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete practical experiments evaluate measurement data scientific experiments measuring design digital analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation labs computer engineering mathematics implement dynamic stability synthesis design techniques internet web scientific tools web design internet techniques creation web sockets design internet telnet ftp usenet irc dns security dnssec smtp mime imap spam hypertext http session web html xml css client techniques implementation web javascript ajax computer computer networks unix dos memory hierarchy storage cache memories paging segmenting virtual computer communication mechanisms computer networks design networks error probability lab experiments parameter temprature controller design electronics capacitors devices ccd transistors mosfet junction fet mesfet jfet heterostructure fet hfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices implement project technical solution team specification project specifications design interface english scientific engineering sciences autonomously scientific discussions computer networks lab practical implementation computer networks network network topologies routing sockets functioning servers firewalls project intranet file web server intranet connected web firewall intranet connected external socket programming network analysis programs mobile communications digital mobile communication mobile communication theoretical digital cellular mobile communication networks mobile communication cellular mobile communications cellular network signal technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec
B.Sc. Computer Engineering (Software Engineering)  PO19 - B-CE(SE)-19,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices vector kinematics geometry motion dynamics motion kinematics dynamics particle motion analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits technical technical programming technical scientific embedded solutions network communication algorithmic procedural implementation programming techniques modular programs practical algorithms design algorithm preprocessor compiler atomic data formatted arrays sorting pointers dynamic memory allocation memory dynamic data lists stacks queues practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier technical technical vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis physical laws static electric magnetic electrical magnetic faraday maxwell equations integral hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors economics volumes production finance capital budgeting programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming practical programming homeworks handling data files hierarchies dynamic heap probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error scientific scientific scientific computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation labs computer engineering mathematics implement dynamic stability synthesis design abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases lab practical handling relational database database schemas integrity complex sql queries database programs web database programming theoretical computer computer science techniques microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts scientific engineering sciences autonomously scientific discussions implement technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices vector kinematics geometry motion dynamics motion kinematics dynamics particle motion analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming physical laws static electric magnetic electrical magnetic faraday maxwell equations integral hardware computer networks technology network hardware computer networks media topologies technology ethernet fx gigabit ethernet fddi atm wireless lan dsl techniques tcp ip ipsec network client server sockets internet dns ftp www counting lists lists lists multisets permutations generating graph adjacency lists adjacency matrices euler spanning networks algebraic arithmetics modular arithmetic polynomials codes cryptographie correcting errors economics volumes production finance capital budgeting programming theoretical computer computer science techniques programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming practical programming homeworks handling data files hierarchies dynamic heap probability calculation probability discrete distributions binomial distribution markov stochastic matrixes hypothesis error scientific scientific scientific computer science compiler verification modeling handling automata chomsky hierarchy syntax automata pumping lemma equivalence automata decidability verification pumping lemma cyk algorithm automata deterministic decidability xml dtds turing machines architecture computers processors architectures neumann microprocessors pcs architectures computing data memory register stacks dma cpu interrupts dma bussystems usb pci microarchitecture microprogramming risc cisc processors piplining computer architectures core cpus vector computers clusters grid computing computing computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation labs computer engineering mathematics implement dynamic stability synthesis design abstract data abstract data handling algorithms algorithm syntax semantics specification algorithms algorithms computability algorithms sorting abstract data specification implementation abstract data lists stacks queues binary binary hash algorithms sorting graph algorithms backtracking data tool handling volumes data database theoretical practical database databases database design relational relational query data integrity relational design synchronization security relational databases lab practical handling relational database database schemas integrity complex sql queries database programs web database implement microsoft windows unix linux requirements computer architectures multiprcessor processsynchronsation semaphores monitors deadlocks communication memory memory memory allocation virtual memory paging segmentation cache file security file files files implementations devices controllers optimization multiprocessor os multiprocessor multicomputer os security authentication attacks buffer overflow classification os software programming software systematic testing software techniques software practical programming programming software software analysis requirements specifications specifications requirements complex patterns software frames software analysis design design implementation architectural design patterns design programs testing software engineering developing software prototype patterns analysis requirements specifications design software architecture patterns machine software artifacts scientific engineering sciences autonomously scientific discussions technologies architectures security communication networks cryptography symmetric asymmetric hash digital authentication proofs safety administration safety architectures software manipulations security lan internet ipsec
